codgr;sougr;numlig;nojour;codal
88600;7;20;1;27050
342742;1;19;1;30180
463685;4;38;3;24939
307831;5;1;1;7431
190453;3;34;1;6328
83088;1;10;3;25650
269892;6;43;2;10955
37411;4;9;2;22266
93508;6;1;1;7167
364575;7;30;2;30947
247618;3;27;3;18888
406810;2;38;7;3545
208624;2;38;4;25024
538286;6;32;3;18067
441287;6;41;2;13306
480832;1;2;1;7537
504508;7;39;2;25311
72960;2;23;2;20041
116256;2;31;2;18021
67064;5;9;2;86591
109381;2;27;3;19553
51361;7;23;5;19788
322194;7;20;1;29013
141296;7;4;1;9630
334145;6;31;4;18348
64403;3;35;1;16837
399280;2;9;1;18728
445419;5;32;2;17796
84675;4;31;2;18055
425574;7;2;1;7519
316326;3;31;3;18330
277450;7;1;1;7081
301807;3;34;3;17525
256566;1;8;1;22301
90374;1;28;1;83368
246219;6;23;4;19309
369028;1;39;2;25238
262173;3;29;1;17538
159050;4;31;1;76660
137522;3;31;1;30949
339743;1;31;1;16684
499319;2;1;1;7208
240781;4;2;1;7496
250457;3;8;1;22065
203311;3;1;1;7381
450041;7;8;1;11771
333894;3;4;1;9213
468446;7;32;4;17917
217315;3;6;1;10830
64055;5;9;1;13052
229782;7;29;2;17718
92127;1;14;2;11038
81080;5;32;1;2546
239263;5;33;1;3417
478033;5;39;1;25633
54341;6;3;1;8812
391624;5;10;3;19508
296740;6;32;1;1930
433943;1;39;1;24439
95884;7;2;1;7608
318970;3;31;4;18651
360755;4;20;1;29346
398920;5;8;1;12094
69873;7;5;1;10348
379573;1;9;1;19590
941;7;17;1;34254
295190;7;4;1;9288
244885;4;1;1;7248
520040;7;1;1;7077
546367;5;10;2;19245
421357;2;3;1;31440
217771;4;36;1;6799
348173;7;42;3;11626
3594;2;16;2;6522
288999;3;32;2;2212
105926;3;43;1;11943
487431;4;31;2;76599
224678;4;23;1;14313
121477;4;31;2;77177
24386;3;37;2;25810
541660;4;9;3;20999
401280;5;23;5;20720
38480;4;27;2;19316
322674;7;35;1;82359
395235;3;6;1;10770
262484;1;14;2;6876
244178;1;41;1;9665
353267;7;32;4;17371
153370;5;11;1;92640
480452;2;9;2;21006
272730;3;22;4;21265
224446;6;9;3;19541
194608;4;30;1;5669
119955;4;34;6;18563
196803;5;35;1;11244
351397;4;31;1;76577
378616;1;31;5;19182
385010;6;11;1;89632
430534;7;39;2;24920
73574;3;1;1;7418
403523;6;34;1;4702
427950;1;30;1;31443
473910;3;38;1;25414
12275;4;10;2;15664
389639;7;23;2;20489
119208;1;38;1;24848
316423;1;9;3;23170
358876;6;11;2;86494
108262;3;5;1;29157
494630;6;39;2;25251
19022;2;32;2;18240
269635;1;39;2;25313
157023;1;23;4;17917
118693;2;4;1;9552
186138;5;32;1;17879
494276;5;31;3;18327
489479;1;32;1;1955
452498;1;9;2;19301
345095;5;28;1;9326
201102;2;31;3;17536
190502;3;43;3;10962
97787;5;31;1;17839
14695;2;19;1;28650
224896;4;31;1;76841
384885;3;32;2;2855
81987;5;31;4;18708
164557;2;1;1;7334
493059;4;41;4;16819
331120;1;4;2;31598
357015;3;9;3;20260
232107;7;37;1;8064
156432;1;10;2;18576
332085;4;31;4;18683
255258;1;31;4;18874
532008;2;19;2;9255
543794;7;19;3;30062
547598;4;2;1;7614
30672;2;11;1;91513
108578;4;9;2;21248
139388;6;19;1;28931
248594;7;6;1;10110
395866;1;31;3;18474
332912;5;44;3;11079
492902;1;1;1;7243
24592;1;22;5;22479
441454;2;24;2;12622
291994;7;9;2;19802
492676;7;7;1;27717
68788;4;34;1;7543
322794;2;23;1;14294
80549;3;9;1;19024
491747;6;20;2;16842
424869;4;39;2;25128
101294;6;42;1;18008
276240;3;2;1;7634
464648;5;5;1;10265
155323;3;17;2;8039
14361;4;30;1;30614
38499;7;23;5;20700
555721;3;30;4;17618
524628;4;39;1;25406
506178;4;9;2;20996
546819;2;32;4;18212
179915;5;31;1;28651
91269;6;31;1;76668
151786;5;17;2;9073
470440;3;38;1;25573
197628;3;12;2;10940
244479;2;40;1;14098
205512;1;20;2;8597
291110;1;39;2;25139
174196;7;10;1;89776
413493;3;29;2;30987
435362;7;32;1;77697
482137;1;39;4;25181
68833;5;8;1;23094
226047;6;29;3;30783
104459;2;32;2;18390
173572;3;20;1;24908
262629;6;29;1;31193
387879;5;1;1;7010
107363;6;12;2;10617
454431;5;29;4;31002
270715;6;32;1;2857
390845;5;20;1;27917
187392;7;32;1;2243
414797;2;31;1;17942
202787;6;19;2;30181
372595;1;2;1;7738
61911;5;10;1;18292
151471;1;30;1;30688
123635;1;30;2;30899
192049;1;20;3;29139
397839;3;1;1;7451
29262;2;33;1;28268
96169;7;32;2;17853
195392;2;31;2;76380
309961;2;31;2;18460
161746;2;31;6;18779
295799;4;30;1;28855
291427;5;23;3;21945
85352;2;31;4;18252
449691;5;31;4;18216
338381;3;32;2;17979
105514;6;2;1;7471
463884;7;20;3;28827
102336;6;35;2;17429
421045;1;35;3;27388
354225;6;29;4;30804
524927;5;6;1;9425
102385;5;32;1;2414
258454;2;29;1;31282
152197;1;32;5;18458
384631;7;29;3;18128
266796;6;32;4;1823
422514;7;1;1;6915
539820;3;9;2;20466
174104;1;30;4;18210
463263;1;30;2;31155
130127;1;31;3;18450
237487;5;2;1;7590
222237;6;31;2;17304
557762;4;31;2;17917
435884;7;32;3;17836
173873;5;32;3;17888
247002;4;8;3;34736
73730;6;31;2;76396
374595;7;7;1;11072
439257;5;19;1;28317
255248;2;1;1;7366
452833;3;43;4;11952
172159;1;22;6;23819
373963;2;39;2;24931
508916;2;19;1;34017
507529;6;2;3;31819
265930;2;31;1;76467
7159;2;30;1;30593
370439;2;39;1;24865
548682;6;15;6;25272
189328;3;39;2;25061
214636;3;43;2;11518
224159;4;33;1;77592
-5244;7;13;2;9937
35415;4;32;1;21547
252758;4;39;2;24842
235979;1;31;1;76530
267120;5;9;2;20305
89573;4;10;1;18278
128436;1;8;1;21970
472430;7;32;3;17910
520364;4;1;1;7066
155444;6;2;1;8107
450665;3;9;2;20651
67502;2;1;1;7387
92634;5;21;3;26262
448293;1;20;1;30573
222545;1;32;1;76623
387898;6;9;2;19721
427618;2;18;4;21813
243180;3;28;2;17789
479784;2;1;1;7254
487882;2;32;4;18226
155462;5;2;1;7584
564073;4;33;3;30616
76247;7;33;1;4314
315195;1;18;2;34971
265497;7;34;5;36323
118895;3;9;1;17885
317243;6;35;2;23874
204068;5;30;2;31079
80262;3;9;1;21815
544041;6;27;3;19077
99978;4;20;2;29470
33649;4;32;2;16868
283764;1;43;2;12412
465798;5;31;3;18585
179864;4;23;5;17936
165365;1;31;1;30177
19306;7;32;2;17686
263289;4;19;2;10357
211599;4;32;2;76018
313247;2;21;2;9719
342667;1;2;1;7460
94898;5;9;2;20164
495656;4;43;2;11360
115250;4;23;4;20444
258247;6;18;2;34846
122747;7;17;2;6236
152117;1;5;1;10474
469581;3;32;1;1768
27687;4;29;1;31265
128776;5;33;6;18974
374344;1;2;1;7587
497694;6;6;2;29625
371656;1;20;1;29555
11893;4;23;3;18469
473174;3;30;1;30997
526845;7;32;4;17854
469403;5;22;5;22118
40052;3;19;1;28713
392799;7;23;5;19158
380937;5;20;1;29209
494634;4;28;2;17193
283729;1;43;2;12112
25252;2;21;3;26583
503907;3;1;1;7398
223253;5;30;2;78770
216101;4;18;1;30871
506415;3;30;1;18120
359879;4;31;3;18286
63359;1;36;3;77866
440646;4;31;1;77217
156229;4;34;1;5398
348668;6;39;1;24564
151410;3;21;2;24642
489670;7;7;1;54229
100163;2;31;4;18579
49921;2;23;4;19947
525813;4;33;2;80182
378296;4;39;2;25021
475365;5;32;3;17751
432405;7;30;2;30792
280850;1;25;1;22345
420839;4;31;5;18135
330998;6;6;2;28237
456097;2;9;1;19407
420199;7;32;2;18160
311015;3;32;1;17822
209089;1;2;1;7666
329894;4;10;2;19925
104078;4;31;5;17967
88679;1;22;2;22571
241952;1;2;1;8021
17963;4;20;2;8974
159897;5;10;1;17276
80859;4;9;1;19394
322277;1;1;1;7326
267458;2;2;1;7515
161286;2;31;2;76903
34994;6;17;2;4821
526161;3;9;1;20649
379222;2;22;2;9887
284367;5;10;2;11226
487690;4;9;1;13478
123977;6;35;2;17409
495400;5;29;2;30994
450676;6;32;6;18107
386382;3;27;3;19227
220087;5;32;4;1882
54711;2;23;2;19613
535612;3;43;2;11914
548710;3;33;1;3128
313880;2;19;1;28754
64850;6;9;2;20305
50345;5;32;5;1987
44221;7;23;4;20618
522460;1;32;2;1787
271951;1;31;4;18527
456025;3;10;2;20066
61294;5;33;3;78367
273666;5;32;7;18441
301920;5;20;1;28353
116109;3;31;1;76642
229480;3;9;1;14409
284962;4;8;1;21805
241353;6;24;1;17256
539524;1;22;3;24210
238384;1;31;1;76665
524036;6;32;3;17990
29014;1;30;1;29087
245220;2;20;2;29752
363307;5;9;2;20056
463126;3;2;1;8042
194488;7;9;2;19671
347817;6;31;2;76752
344759;5;39;1;25452
289277;7;9;1;22642
399092;2;22;3;19860
176104;2;31;2;78584
390274;2;10;3;19960
545818;7;20;3;31366
488906;1;9;2;20152
436268;6;32;3;2309
20823;6;30;2;30849
268421;5;18;2;9737
308101;5;2;1;7534
156649;7;2;1;7500
426444;1;30;1;31104
272564;1;31;1;76375
381323;1;31;4;17947
533415;5;9;2;24171
395188;7;39;1;18002
252509;6;15;2;9867
81337;3;31;1;17830
242217;3;1;1;7130
18890;4;30;2;30710
170599;1;23;2;15035
415119;4;25;1;30662
131923;1;4;1;31678
152160;6;32;2;2697
387766;6;33;1;18827
289219;5;11;2;14670
168211;3;31;2;76286
479447;2;10;1;14403
502214;3;22;4;23756
446117;5;1;1;7220
121921;4;32;1;2372
296765;5;9;1;12101
286165;3;17;2;9917
523313;7;9;1;15880
554721;2;22;2;9161
280385;6;18;2;6063
460877;3;9;2;20467
48932;6;7;1;9810
368568;3;30;1;31468
473897;7;39;2;25133
405635;6;10;3;18784
123977;1;42;1;13796
412283;3;31;7;18662
536619;6;25;2;32835
248417;1;21;1;28799
481697;1;10;4;20256
265765;5;35;1;16533
84476;3;19;1;28602
300494;6;34;1;4651
388908;5;32;2;74470
530531;2;2;1;8138
476300;3;9;1;20451
463738;1;21;3;26259
179036;7;27;3;18987
115869;5;2;1;7690
338326;1;31;2;18431
247507;1;37;5;20221
498759;5;9;1;20314
67819;1;1;1;7551
211236;7;1;1;6973
91931;7;35;4;18792
25866;1;31;2;18110
254425;2;32;1;3079
36660;1;36;2;26496
200356;2;35;2;18408
414690;1;42;2;13004
66116;3;23;2;20319
274934;6;43;2;10884
553002;7;19;2;31022
411854;3;31;1;2304
350928;5;21;2;29350
159751;1;8;1;12178
151850;4;34;7;18728
105725;3;30;1;31038
265993;2;39;5;6852
99838;7;31;2;18243
460339;2;31;3;18381
509989;7;9;1;19693
110332;5;1;1;7303
505597;7;31;4;18317
483937;3;8;2;21913
72474;5;10;1;87476
473926;5;31;3;18519
83161;1;12;2;11454
448112;1;31;1;18055
535272;4;33;1;3358
150945;7;36;2;20279
315888;2;10;2;15780
445586;4;32;2;76437
281697;7;36;2;81436
269462;3;9;1;21171
15455;5;24;2;19200
35535;3;8;1;22319
293259;7;32;1;2013
541708;3;30;1;31140
234270;1;1;1;7271
370598;1;42;1;14271
457944;5;32;2;17969
32574;1;31;3;78037
252599;2;32;4;18063
534483;1;32;3;18191
346832;1;20;1;30893
94547;4;43;1;11678
181771;6;1;1;7347
134855;7;43;2;11221
464170;2;31;1;76787
279806;7;1;1;7070
275036;5;32;3;17639
356351;1;1;1;7313
77878;5;10;1;91182
309704;7;21;3;27444
430089;2;2;1;8067
431950;1;1;1;7248
15239;7;10;2;17895
17231;1;23;5;17940
30137;5;23;3;19333
427302;7;9;2;20546
424178;6;34;4;19736
294447;1;10;2;91929
367660;7;35;2;17002
279078;6;25;4;18363
220527;5;9;1;20404
373093;4;31;2;76636
309809;6;2;1;7573
147892;1;31;3;18104
369884;2;31;4;18176
453205;2;32;1;17520
400857;7;33;4;27951
349592;3;10;3;18782
264001;2;2;1;7755
66190;5;23;2;15957
210814;2;33;3;30344
79121;2;39;1;24817
115079;1;11;1;91532
251951;2;34;1;16249
381052;3;41;5;13073
138871;6;33;1;14795
493993;3;22;3;20839
503380;6;39;4;24954
206357;5;2;1;7526
426356;7;1;1;7301
480671;3;9;2;19978
116209;2;24;3;22007
514251;2;1;1;7212
450045;5;23;4;20786
299296;3;2;1;7592
149677;5;23;1;14273
540602;4;37;1;23837
499097;6;2;1;7524
243769;3;26;4;19734
203189;7;25;3;16078
297080;3;9;1;22639
523044;3;10;3;20044
288467;4;2;1;7527
297942;3;9;1;20789
242942;4;34;7;19973
226256;6;9;2;20241
462222;4;39;1;24663
111934;3;11;2;16186
402500;4;32;1;18823
261300;2;27;3;19079
119654;7;1;1;7228
79789;5;1;1;7378
341588;1;31;3;18113
135951;6;1;1;7206
526042;7;7;1;11817
66611;3;30;1;31420
148864;4;9;2;11899
405185;7;1;1;7432
460895;6;33;2;3076
7005;4;30;1;30786
563746;4;22;6;22852
15090;2;29;1;31343
125201;6;10;1;18757
241541;7;29;2;30646
160645;4;31;1;76817
329307;5;4;1;9134
151785;7;33;1;3199
399611;4;2;2;32448
517428;5;32;4;17966
146652;6;32;2;18846
479235;1;4;1;32487
235008;2;32;1;29269
327627;3;9;1;20355
261666;7;31;6;18486
39320;5;20;2;30032
501535;7;35;2;18172
464500;7;9;1;20792
288949;7;38;3;24903
429127;6;23;3;20758
520829;7;9;2;19347
309050;3;9;2;21539
554016;3;23;5;21073
391350;4;33;1;2717
25100;1;35;1;27491
304593;6;17;2;33730
507863;1;33;2;18482
352734;6;35;1;27283
350252;1;21;2;30341
173951;3;34;1;7625
390070;1;31;4;18230
42513;6;9;1;88601
549581;3;29;3;35484
529664;7;32;4;18047
397094;5;39;2;25032
68457;3;33;4;2970
165698;5;23;4;20989
517601;3;9;3;19856
134106;3;1;1;7251
128501;7;36;1;16481
23723;2;31;1;76561
545606;5;31;4;17364
367628;5;31;4;18363
167672;1;23;4;20795
382763;3;32;3;17969
515531;4;8;1;23062
98604;2;10;1;15387
40496;7;39;2;24688
467928;6;30;3;30697
245666;5;14;2;5642
76559;7;34;1;4243
346258;7;4;3;30927
152520;2;9;2;20935
27180;1;9;2;20631
205719;2;31;1;76392
108828;7;34;1;16406
512852;6;1;1;7057
386241;6;1;1;7048
284912;4;3;1;8687
459712;1;30;2;31226
362736;3;22;1;19500
299441;3;22;5;24345
94905;3;2;1;7720
507089;1;39;1;25494
496610;4;9;2;11482
161106;6;34;5;26771
532696;1;30;1;31319
166442;2;35;4;18614
247640;6;43;2;11444
384467;1;31;1;3774
310381;3;43;1;11897
526553;1;17;2;35077
78388;2;10;1;26448
143923;3;22;3;18908
202854;6;39;2;24977
212733;1;43;2;11420
187277;6;3;1;8367
181389;6;39;1;24788
83591;5;30;2;31197
116736;5;43;7;90226
517655;6;32;1;2393
296835;2;43;1;12054
128877;4;10;2;16199
292459;5;39;1;24528
533293;3;37;1;25838
521766;4;9;2;20746
515528;3;9;2;20403
337885;7;1;1;7266
180953;1;31;2;76523
262453;1;23;4;16442
56335;3;9;1;12171
175882;2;10;2;20129
343061;7;12;5;25282
401137;7;1;1;7267
277427;3;2;1;7729
238894;5;32;7;18313
186240;7;29;4;30788
128480;7;2;1;7490
13129;5;23;3;17247
349538;3;5;1;10313
303136;3;35;2;17446
299915;3;11;1;91028
384301;2;32;1;29006
141729;5;31;4;18152
332585;3;31;4;18285
124793;2;23;3;19905
512837;7;22;3;24695
251575;5;2;1;8326
254861;1;30;2;30889
232313;4;8;1;12474
340962;4;31;1;2406
188317;1;2;1;7781
378299;5;35;3;17780
306698;7;9;1;20524
65156;3;9;2;20860
377228;3;2;1;7558
265385;6;11;1;91109
456308;2;30;1;31389
262706;3;9;2;19693
212670;7;19;2;30581
358400;1;34;1;28141
74643;1;31;4;18448
199292;5;39;2;24788
139458;2;33;1;9856
205912;6;36;1;6135
143645;1;22;2;14092
318862;4;24;1;12163
160687;5;33;1;3064
3;7;11;2;12583
170627;6;21;3;25228
412847;4;29;3;32792
519694;3;30;1;30730
218405;5;32;1;76170
436747;1;1;1;7448
175435;3;9;1;19854
553667;3;20;1;31016
108848;3;2;1;7464
368104;4;32;2;18202
260705;7;16;3;11300
229126;1;9;2;20366
504990;6;32;2;17480
152590;6;9;3;21763
285634;2;31;4;18463
216390;3;11;2;88533
495291;3;29;2;31496
21684;6;29;1;30749
107114;7;8;1;22320
473585;4;11;1;93711
246471;6;30;1;30943
460594;7;19;2;30423
329995;2;32;2;17895
345865;7;33;2;15728
332812;2;29;4;30805
534426;7;17;6;22624
141358;1;20;2;9762
279077;1;30;2;31231
166696;3;2;1;7671
320051;5;32;1;2127
241177;3;20;1;30352
379046;1;31;7;18914
353433;3;1;1;7170
301734;6;31;2;17993
449821;4;30;1;4041
404584;5;33;2;17316
349921;3;30;1;30781
29423;5;30;1;31293
289328;1;9;1;19987
147487;3;21;2;9702
523071;3;1;1;7121
395215;2;9;2;18745
276066;1;21;3;26148
232336;6;30;1;21935
517040;7;9;2;19677
23441;2;26;2;19576
526692;4;9;2;21295
322289;5;22;2;23107
539480;5;8;1;24239
260744;1;2;1;7417
251342;5;1;1;7407
295081;2;5;1;9605
430482;3;31;3;18458
165749;2;31;1;76606
68112;7;46;2;93099
500252;1;1;1;7444
89341;6;1;1;7427
79183;5;6;1;11025
266144;5;42;2;10865
325984;1;21;3;26025
259956;4;23;4;19768
353690;5;32;2;2542
265779;6;19;1;29196
375164;6;29;4;18399
424122;1;11;1;89979
83891;7;32;1;16968
519291;1;22;1;29017
329923;4;39;1;16171
253416;3;11;1;90934
78511;1;31;2;18013
21107;6;13;2;6118
65367;1;2;1;8027
278574;7;30;2;30804
127089;7;31;3;17941
475069;3;31;4;18365
415348;4;1;1;7046
243396;6;10;2;9564
510084;7;5;1;9953
183667;7;38;1;90891
338581;5;30;1;30873
47559;2;30;1;76750
181548;7;23;4;21205
439324;1;38;3;24356
285404;2;1;1;7119
66271;1;12;2;9621
535066;1;40;2;8024
449785;2;31;2;18452
529208;1;31;2;18301
549944;4;19;3;34846
178104;6;36;1;15491
534089;6;9;2;21264
219064;1;2;1;7574
77657;3;31;2;17849
275825;4;3;1;8308
395460;4;9;2;19782
117216;1;30;2;31113
104982;2;11;2;94461
544262;2;28;4;19454
72368;4;35;2;18286
257927;2;31;1;76952
344931;1;30;2;30900
241816;2;30;1;31145
75043;1;10;1;17553
11907;6;22;2;25148
127878;2;31;1;76609
36051;4;9;2;20534
537218;3;39;1;25087
289820;4;31;4;29651
471065;3;5;2;34128
117214;3;32;7;18777
74007;7;1;1;7091
486220;7;32;3;17860
358781;5;30;2;30966
510421;7;24;2;14551
440451;3;12;2;10522
412266;4;29;4;18177
424037;1;17;1;35454
150897;1;30;2;31194
304097;7;33;1;3686
474342;7;38;1;25883
523464;6;32;5;18335
317416;4;30;2;30812
217066;1;2;1;8156
261447;4;1;1;7133
405156;1;18;2;32007
22767;6;29;1;31273
251630;4;32;4;18157
429187;5;31;1;1900
535946;5;23;6;20826
401525;4;19;2;29793
296035;6;31;1;28340
165527;7;1;1;7314
67975;7;35;1;17176
475947;1;8;1;20515
492405;2;31;1;17727
274601;1;10;3;19921
165259;7;11;2;11781
160642;3;39;3;25081
272358;6;38;3;22425
169912;1;1;1;7143
530858;5;34;2;27933
426627;5;37;3;25661
476302;4;33;3;33376
251694;5;23;1;19826
209152;3;27;2;85335
414743;4;20;2;30550
381721;1;22;5;22520
357539;3;2;1;8287
294501;1;20;2;9510
506240;1;23;6;22830
556331;4;23;4;19938
88623;7;8;1;22128
144916;7;23;4;20086
108890;2;9;2;21412
197476;4;35;1;17716
94928;1;10;2;19359
465232;6;5;1;10228
57736;2;30;1;76975
511856;1;9;2;20186
467458;3;28;3;33595
205894;2;3;3;32189
248564;4;11;2;12447
269935;6;1;1;7289
426142;2;20;2;29598
493420;5;22;4;23541
339087;6;19;1;28277
152226;4;32;2;18509
103254;1;20;2;22694
175908;7;34;1;13367
239424;4;35;2;27085
211064;7;9;3;20480
113653;4;9;2;20849
75102;4;34;3;3749
501594;4;11;1;90597
97636;6;33;1;27891
109341;7;2;1;7425
371564;3;32;2;20056
313776;1;9;1;20112
60930;5;30;1;30091
507286;4;35;3;17450
52977;4;30;1;31059
73491;6;9;2;21223
22171;6;23;4;18882
234114;3;34;6;18467
27179;7;27;2;18244
283524;4;2;1;7519
299123;4;2;1;7999
13420;6;19;2;29677
140980;3;6;1;11042
34491;5;30;1;76858
39462;2;27;2;19491
281542;6;20;3;8906
398735;7;20;2;8516
440685;6;32;2;17857
414915;1;30;2;31075
254213;1;19;1;30083
289782;6;39;2;25254
78049;6;33;1;5820
9721;2;31;1;76674
478984;4;9;1;19256
376270;3;18;2;9851
512519;7;9;2;19825
249888;7;2;1;7481
165216;2;30;1;27557
311815;1;17;3;8658
402883;7;1;1;7154
521754;6;1;1;7342
142634;5;33;1;2552
190926;4;47;2;103187
286851;1;24;3;20023
155048;3;39;1;24957
94740;4;31;2;18417
363562;5;10;2;12207
303222;1;42;3;12681
273004;3;21;2;25112
530817;3;9;2;19084
40140;5;35;1;25102
129349;7;32;3;18139
487133;5;11;2;11153
501309;6;6;1;10657
539500;7;18;2;6542
195759;3;31;5;18332
147630;7;39;1;24221
43788;4;34;4;27504
79198;1;39;2;25013
287511;1;31;3;17949
346887;1;9;1;16171
134344;4;2;1;7299
534340;3;1;1;7216
316932;1;31;2;18668
205878;5;39;2;25231
101109;2;30;1;31201
292071;4;40;5;12512
420596;6;39;1;25426
353527;6;20;2;9077
36536;7;16;2;10488
95611;1;34;2;4629
397769;5;32;3;18501
524925;2;9;1;20657
520568;4;32;3;18150
100087;6;1;1;7184
26722;5;9;2;21284
122368;7;43;1;10592
406463;4;9;2;20965
115950;5;31;1;17884
433833;1;34;1;3871
387590;5;21;4;25571
162500;7;30;1;31112
128584;5;34;7;19986
104961;7;33;1;3303
501584;7;1;1;7214
64804;2;9;2;20207
311616;6;43;1;10950
244317;4;31;4;17716
227565;7;32;1;1611
104177;1;2;1;7674
281931;6;9;1;11390
492611;4;23;4;20821
116365;6;38;3;24782
410162;4;39;1;25133
176307;7;23;1;30025
83074;7;8;1;21899
88653;7;32;2;18129
305917;4;20;1;31360
445400;4;22;6;22071
179948;5;1;1;7086
299892;7;34;1;11409
523444;1;31;3;18401
13784;7;32;2;17378
78260;2;25;4;18562
303318;3;2;1;7472
103773;4;34;2;19241
269791;3;33;1;2957
72126;3;32;1;76369
58180;4;12;2;9812
213043;2;32;1;2505
403692;4;32;2;76412
326247;1;31;4;18423
291158;5;39;3;24859
269864;3;43;2;12006
212217;3;2;1;7449
296535;2;39;2;25133
378069;6;10;1;31951
381883;7;30;1;30799
435494;4;39;1;25435
191153;4;29;2;80318
488329;1;1;1;7507
217718;2;2;1;7624
61917;3;31;2;77004
335702;3;10;3;19133
177540;3;9;2;20067
48823;4;36;4;26319
257960;7;23;4;18083
189669;4;29;2;30961
325030;3;2;1;7558
275899;2;39;1;25058
225328;1;32;6;18564
107751;7;2;1;7965
546931;2;25;1;7680
391148;6;11;1;89850
267770;5;22;5;24171
451736;1;1;1;7138
550903;4;2;1;7591
166143;3;20;2;30315
98536;6;9;1;17355
421233;1;3;1;8838
363437;2;32;4;18247
371493;6;9;2;20209
460555;5;1;1;7265
229311;2;31;1;76747
510261;1;11;2;12740
487594;3;31;2;18023
480406;7;31;1;17673
306896;4;32;1;2701
398817;4;3;1;8670
418596;5;33;6;2089
64981;2;1;1;7445
436217;7;35;3;18496
357509;1;32;1;3227
257354;6;20;1;25294
109290;5;30;2;30618
431600;2;33;1;78327
8541;1;30;1;30609
196250;7;23;4;19795
391677;7;22;3;21893
222476;4;31;1;76352
101432;2;32;1;2371
495315;7;42;2;10909
101478;2;22;4;23452
16724;6;30;1;30758
245913;6;32;1;2365
78670;7;2;1;7538
205119;7;33;2;27493
404650;3;38;3;16731
370930;6;3;1;8764
198958;1;32;2;27712
118991;6;1;1;7425
298554;4;13;2;9599
60291;5;30;2;30942
142980;1;30;1;31423
442241;7;1;1;6926
482953;5;31;1;18118
233828;4;21;3;25212
108334;3;35;3;17448
133988;7;31;2;29755
134358;4;31;3;18302
348700;4;20;2;9003
497361;1;8;1;25877
58792;4;10;1;14906
379024;1;9;2;22133
55816;6;21;3;26577
68590;1;10;3;19765
94669;5;9;2;19210
373584;7;29;1;31224
202037;4;22;3;19953
489826;6;31;2;76535
178269;7;43;1;11606
427347;5;15;1;43369
25000;4;26;1;87338
80510;2;30;1;30951
69526;5;9;1;20152
473223;4;39;1;25523
105662;4;10;2;10953
339177;5;14;2;38255
85678;5;8;3;25952
186603;2;22;3;21796
513198;5;1;1;7210
61122;7;32;4;18044
109569;4;1;1;7501
360403;5;8;1;20030
283824;3;2;1;7586
351972;3;2;1;7468
306619;3;35;7;5165
